epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4603.15,0.73594,0.50304,1.36186,0.97067,0.95362,0.97902,0.86203,0.5976,0.42824,1.62721,0.000848969,0.000848969,0.000848969
43,4710.37,0.71429,0.48713,1.31905,0.97113,0.95307,0.98115,0.86779,0.59219,0.42239,1.68727,0.000834822,0.000834822,0.000834822
44,4817.25,0.72641,0.49904,1.34571,0.96188,0.95942,0.981,0.86167,0.61739,0.43795,1.52411,0.000820675,0.000820675,0.000820675
45,4924.85,0.71677,0.48651,1.32471,0.9654,0.95332,0.97971,0.871,0.57941,0.41967,1.75631,0.000806528,0.000806528,0.000806528
46,5032.6,0.6903,0.47452,1.28395,0.95871,0.97006,0.98274,0.87879,0.56569,0.41121,2.04075,0.00079238,0.00079238,0.00079238
47,5139.56,0.69617,0.47208,1.31072,0.97196,0.95913,0.98185,0.87661,0.55498,0.40672,2.00767,0.000778233,0.000778233,0.000778233
48,5246.31,0.68842,0.46333,1.30946,0.97245,0.9618,0.98423,0.8797,0.55612,0.39879,1.96325,0.000764086,0.000764086,0.000764086
49,5354.12,0.7096,0.48279,1.33492,0.9719,0.95581,0.9847,0.8728,0.57474,0.41327,1.73949,0.000749939,0.000749939,0.000749939
50,5461.71,0.7051,0.48122,1.35446,0.96305,0.96118,0.98419,0.86782,0.58868,0.41622,1.70418,0.000735792,0.000735792,0.000735792
51,5568.6,0.70327,0.47611,1.35646,0.96623,0.95682,0.98323,0.87021,0.58456,0.4192,1.69059,0.000721645,0.000721645,0.000721645
52,5675.01,0.70658,0.47316,1.29055,0.97341,0.96972,0.98608,0.86438,0.65083,0.42971,1.65999,0.000707498,0.000707498,0.000707498
53,5782.57,0.71142,0.47127,1.33367,0.97536,0.96498,0.98595,0.87633,0.56322,0.40447,1.78709,0.000693351,0.000693351,0.000693351
54,5889.04,0.69704,0.46464,1.31626,0.97045,0.96645,0.98583,0.87561,0.59895,0.41993,1.54798,0.000679204,0.000679204,0.000679204
55,5995.4,0.66756,0.45101,1.30546,0.97946,0.96577,0.98579,0.88799,0.54088,0.39135,1.89073,0.000665057,0.000665057,0.000665057
56,6102.95,0.66902,0.44835,1.29101,0.96825,0.96664,0.98423,0.88247,0.55498,0.39543,1.71282,0.000650909,0.000650909,0.000650909
57,6210.93,0.67742,0.45973,1.28541,0.97297,0.9713,0.98573,0.89217,0.52434,0.37529,2.16877,0.000636762,0.000636762,0.000636762
58,6318.98,0.67452,0.45726,1.3341,0.97101,0.97269,0.98685,0.88565,0.54933,0.39215,1.78311,0.000622615,0.000622615,0.000622615
59,6426.49,0.68317,0.46296,1.32284,0.97636,0.96775,0.98573,0.88518,0.557,0.39874,1.6901,0.000608468,0.000608468,0.000608468
